SRR,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
SRR21817121,Achromobacter xylosoxidans,85698,S,"18,710","1,298","20,008",0.53114
SRR21817121,Achromobacter pestifer,1353889,S,"3,159",197,"3,356",0.08909
SRR21817121,synthetic construct,32630,S,"2,683",0,"2,683",0.07122
SRR21817121,Homo sapiens,9606,S,"1,964",20,"1,984",0.05267
SRR21817121,Achromobacter insolitus,217204,S,922,24,946,0.02511
SRR21817121,Acidovorax temperans,80878,S,538,96,634,0.01683
SRR21817121,Achromobacter denitrificans,32002,S,485,12,497,0.01319
SRR21817122,Achromobacter xylosoxidans,85698,S,"7,287",505,"7,792",0.51681
SRR21817122,synthetic construct,32630,S,"2,062",0,"2,062",0.13676
SRR21817122,Homo sapiens,9606,S,"1,942",33,"1,975",0.13099
SRR21817122,Achromobacter pestifer,1353889,S,"1,183",77,"1,260",0.08357
SRR21817122,Achromobacter insolitus,217204,S,358,10,368,0.02441
SRR21817122,Achromobacter denitrificans,32002,S,186,4,190,0.01260
SRR21817122,Acidovorax temperans,80878,S,122,41,163,0.01081
SRR21817123,Achromobacter xylosoxidans,85698,S,"19,941","1,409","21,350",0.52270
SRR21817123,Achromobacter pestifer,1353889,S,"3,292",212,"3,504",0.08579
SRR21817123,synthetic construct,32630,S,"3,041",0,"3,041",0.07445
SRR21817123,Homo sapiens,9606,S,"1,998",19,"2,017",0.04938
SRR21817123,Achromobacter insolitus,217204,S,979,26,"1,005",0.02460
SRR21817123,Cutibacterium acnes,1747,S,701,22,723,0.01770
SRR21817123,Achromobacter denitrificans,32002,S,522,14,536,0.01312
SRR21817123,Acidovorax temperans,80878,S,369,94,463,0.01134
SRR21817124,Achromobacter xylosoxidans,85698,S,"53,865","3,562","57,427",0.53428
SRR21817124,Achromobacter pestifer,1353889,S,"9,163",558,"9,721",0.09044
SRR21817124,synthetic construct,32630,S,"4,641",0,"4,641",0.04318
SRR21817124,Achromobacter insolitus,217204,S,"2,682",70,"2,752",0.02560
SRR21817124,Homo sapiens,9606,S,"2,120",21,"2,141",0.01992
SRR21817124,Acidovorax temperans,80878,S,"1,248",255,"1,503",0.01398
SRR21817124,Achromobacter denitrificans,32002,S,"1,420",36,"1,456",0.01355
SRR21817125,Achromobacter xylosoxidans,85698,S,"30,118","1,905","32,023",0.47104
SRR21817125,synthetic construct,32630,S,"12,586",0,"12,586",0.18513
SRR21817125,Achromobacter pestifer,1353889,S,"4,971",292,"5,263",0.07742
SRR21817125,Homo sapiens,9606,S,"3,121",32,"3,153",0.04638
SRR21817125,Achromobacter insolitus,217204,S,"1,446",36,"1,482",0.02180
SRR21817125,Achromobacter denitrificans,32002,S,747,18,765,0.01125
SRR21817125,Acidovorax temperans,80878,S,618,128,746,0.01097
SRR21817126,Achromobacter xylosoxidans,85698,S,"19,359","1,275","20,634",0.52848
SRR21817126,synthetic construct,32630,S,"4,160",0,"4,160",0.10655
SRR21817126,Achromobacter pestifer,1353889,S,"3,534",213,"3,747",0.09597
SRR21817126,Homo sapiens,9606,S,"2,359",14,"2,373",0.06078
SRR21817126,Achromobacter insolitus,217204,S,"1,103",29,"1,132",0.02899
SRR21817126,Achromobacter denitrificans,32002,S,548,13,561,0.01437
SRR21817126,Acidovorax temperans,80878,S,388,82,470,0.01204
SRR21817127,Achromobacter xylosoxidans,85698,S,"13,990",785,"14,775",0.65269
SRR21817127,Achromobacter pestifer,1353889,S,"2,430",126,"2,556",0.11291
SRR21817127,Homo sapiens,9606,S,"1,974",16,"1,990",0.08791
SRR21817127,synthetic construct,32630,S,"1,608",0,"1,608",0.07103
SRR21817127,Achromobacter insolitus,217204,S,746,18,764,0.03375
SRR21817127,Achromobacter denitrificans,32002,S,381,8,389,0.01718
SRR21817128,Aquabacterium olei,1296669,S,"1,904,607","93,319","1,997,926",0.12527
SRR21817128,Massilia varians,457921,S,"573,298","58,557","631,855",0.03962
SRR21817128,Rhizobium sp. WL3,2603277,S,"229,878","19,813","249,691",0.01566
SRR21817128,uncultured Hydrogenophaga sp.,199683,S,"206,521","12,388","218,909",0.01373
SRR21817128,Rhizobium rosettiformans,1368430,S,"166,037","37,821","203,858",0.01278
SRR21817128,Devosia sp. A16,17
SRR21817129,Aquabacterium olei,1296669,S,"1,768,798","86,461","1,855,259",0.12649
SRR21817129,Massilia varians,457921,S,"559,346","55,654","615,000",0.04193
SRR21817129,uncultured Hydrogenophaga sp.,199683,S,"239,732","14,126","253,858",0.01731
SRR21817129,Rhizobium sp. WL3,2603277,S,"222,615","18,611","241,226",0.01645
SRR21817129,Rhizobium rosettiformans,1368430,S,"158,513","36,293","194,806",0.01328
SRR21817129,[Ochrobactrum] quorumnocens,27186
SRR21817130,Achromobacter xylosoxidans,85698,S,"17,767",969,"18,736",0.63059
SRR21817130,synthetic construct,32630,S,"3,722",0,"3,722",0.12527
SRR21817130,Achromobacter pestifer,1353889,S,"2,889",142,"3,031",0.10201
SRR21817130,Homo sapiens,9606,S,"1,900",22,"1,922",0.06469
SRR21817130,Achromobacter insolitus,217204,S,849,19,868,0.02921
SRR21817130,Achromobacter denitrificans,32002,S,453,9,462,0.01555
SRR21817131,Achromobacter xylosoxidans,85698,S,"21,623","1,459","23,082",0.56830
SRR21817131,Achromobacter pestifer,1353889,S,"3,722",231,"3,953",0.09733
SRR21817131,synthetic construct,32630,S,"2,513",0,"2,513",0.06187
SRR21817131,Homo sapiens,9606,S,"2,096",12,"2,108",0.05190
SRR21817131,Achromobacter insolitus,217204,S,"1,060",28,"1,088",0.02679
SRR21817131,Achromobacter denitrificans,32002,S,636,16,652,0.01605
SRR21817131,Acidovorax temperans,80878,S,404,77,481,0.01184
