omc_id,sample_id,sample_name,non_human_reads,seqcoast_order_id,seqcoast_tube_id,manifest_sample_name,gtdb_species,Isolate name in BCM biobank
bcm00030,5731_016,5731_016_S53,2609436,5731,16,P19-T-R2A-E4,Staphylococcus capitis,OM075
bcm00032,5731_018,5731_018_S55,2645278,5731,18,P8-CD7-C5,Staphylococcus epidermidis,OM022
bcm00041,6656_008,6656_008_S38,4203966,6656,8,P021-2T-B10,Brevibacillus agri,OM078
bcm00044,6656_011,6656_011_S41,3477248,6656,11,P034-1T-A10,Staphylococcus epidermidis,OM079
bcm00045,6656_012,6656_012_S42,2682516,6656,12,P034-1T-B1,Staphylococcus epidermidis,OM080
bcm00047,6656_014,6656_014_S4,2057636,6656,14,P034-1T-E5,Staphylococcus epidermidis,OM081
bcm00049,6656_019,6656_019_S6,2139814,6656,19,P051-3T-E2,Staphylococcus lugdunensis,OM077
bcm00056,7826_001,7826_001_S193,3067536,7826,1,p01_d2_R2A_A2halo,Brevibacillus agri,OM001
bcm00057,7826_002,7826_002_S194,3251710,7826,2,p01_d2_R2A_A2orange,Staphylococcus aureus,OM035
bcm00058,7826_003,7826_003_S195,2963308,7826,3,p03_d3_R2A_E5tinyT,Corynebacterium sp900539985,OM011
bcm00059,7826_004,7826_004_S196,3603834,7826,4,p03_d3_R2A_E5tinyW,Staphylococcus capitis,OM019
bcm00060,7826_005,7826_005_S197,2942324,7826,5,p03_d3_R2A_E5yellow,Staphylococcus aureus,OM036
bcm00061,7826_006,7826_006_S198,2304294,7826,6,p06_d7_BHIT_A2,Staphylococcus epidermidis,OM023
bcm00062,7826_007,7826_007_S199,2471232,7826,7,p08_d7_TSA_B2reg,Brevibacillus agri,OM002
bcm00063,7826_008reseq,7826_008reseq_S7,2789222,7826,8,p08_d7_BHIT_C1,Staphylococcus epidermidis,OM024
bcm00064,7826_009,7826_009_S201,3754748,7826,9,p08_d7_CBA_F2small,Cutibacterium acnes,OM013
bcm00065,7826_010,7826_010_S202,2749738,7826,10,p08_d7_CBA_F5BIG,Staphylococcus aureus,OM037
bcm00066,7826_011,7826_011_S203,3020552,7826,11,p09_d7_R2A_A4,Brevibacillus agri,OM003
bcm00067,7826_012,7826_012_S204,2424486,7826,12,p09_d7_BHIT_E2,Staphylococcus epidermidis,OM025
bcm00068,7826_013,7826_013_S205,2281096,7826,13,p09_d7_BHIT_E3BIG,Staphylococcus aureus,OM038
bcm00069,7826_014,7826_014_S206,2628794,7826,14,p011_d3_CBA_F10trans,Corynebacterium rhinophilum,OM005
bcm00070,7826_015,7826_015_S207,2188902,7826,15,p013_d3_BHIT_A3small,Corynebacterium bovis,OM008
bcm00071,7826_016,7826_016_S208,2426436,7826,16,p014_d3_TSA_A8small,Cutibacterium avidum,OM016
bcm00072,7826_017,7826_017_S209,2492584,7826,17,p014_d3_TSA_A8white,Staphylococcus hominis,OM033
