File,ID
Molzym_Ultra_Deep_Air_Ctr_3_S20,jhu00001
Molzym_Ultra_Deep_LE_Lt_2_S23,jhu00002
Molzym_Ultra_Deep_LE_Rt_1_S1,jhu00003
Molzym_Ultra_Deep_MCS_1-100_4_S8,jhu00004
Qiagen_DNeasy_Air_Ctr_3_S10,jhu00005
Qiagen_DNeasy_LE_Lt_2_S12,jhu00006
Qiagen_DNeasy_LE_Rt_1_S17,jhu00007
Qiagen_DNeasy_MCS_1-100_4_S18,jhu00008
Qiagen_Soil_Air_Ctr_3_S2,jhu00009
Qiagen_Soil_LE_Lt_2_S14,jhu00010
Qiagen_Soil_LE_Rt_1_S15,jhu00011
Qiagen_Soil_MCS_1-100_4_S5,jhu00012
Thermo_MagMax_Air_Ctr_3_S21,jhu00013
Thermo_MagMax_LE_Lt_2_S11,jhu00014
Thermo_MagMax_LE_Rt_1_S7,jhu00015
Thermo_MagMax_MCS_1-100_4_S24,jhu00016
Zymo_Magbead_Air_Ctr_3_S4,jhu00017
Zymo_Magbead_LE_Lt_2_S16,jhu00018
Zymo_Magbead_LE_Rt_1_S9,jhu00019
Zymo_Magbead_MCS_1-100_4_S22,jhu00020
Zymo_Mini_prep_Air_Ctr_3_S19,jhu00021
Zymo_Mini_prep_LE_Lt_2_S3,jhu00022
Zymo_Mini_prep_LE_Rt_1_S6,jhu00023
Zymo_Mini_prep_MCS_1-100_4_S13,jhu00024
MasterPure_Air_Ctr_3_S34,jhu00025
MasterPure_LE_Lt_2_S33,jhu00026
MasterPure_LE_Rt_1_S32,jhu00027
MasterPure_Lyso_LE_Lt_2_S37,jhu00028
MasterPure_Lyso_LE_Rt_1_S36,jhu00029
MasterPure_Lyso_MCS_1_100_4_S39,jhu00030
MasterPure_Lysol_Air_Ctr_3_S38,jhu00031
MasterPure_MCS_1_100_4_S35,jhu00032
MasterPure_MolYsis_Basic_5_Air_Ctr_3_S42,jhu00033
MasterPure_MolYsis_Basic_5_LE_Lt_2_S41,jhu00034
MasterPure_MolYsis_Basic_5_LE_Rt_1_S40,jhu00035
MasterPure_MolYsis_Basic_5_MCS_1_100_4_S43,jhu00036
MasterPure_NEB_Air_Ctr_3_S46,jhu00037
MasterPure_NEB_LE_Lt_2_S45,jhu00038
MasterPure_NEB_LE_Rt_1_S44,jhu00039
MasterPure_NEB_MCS_1_100_4_S47,jhu00040
MasterPure_Zymo_HostZero_200ul_Air_Ctr_3_S29,jhu00041
MasterPure_Zymo_HostZero_200ul_LE_Lt_2_S28,jhu00042
MasterPure_Zymo_HostZero_200ul_LE_Rt_1_S27,jhu00043
MasterPure_Zymo_HostZero_MCS_1_100_4_S30,jhu00044
OMR-110_S31,jhu00045
MasterPure_MCS_7_S56,jhu00046
MasterPure_MCS_HostZero_3_S3,jhu00047
MasterPure_MCS_MolYsis_1_S59,jhu00048
MasterPure_MCS_NEB_5_S34,jhu00049
MasterPure_OMR_8_S22,jhu00050
MasterPure_OMR_HostZero_4_S24,jhu00051
MasterPure_OMR_MolYsis_2_S42,jhu00052
MasterPure_OMR_NEB_6_S15,jhu00053
Molzym_Ultra-Deep_MCS_1_S11,jhu00054
Molzym_Ultra-Deep_MCS_HostZero_3_S19,jhu00055
Molzym_Ultra-Deep_MCS_NEB_5_S44,jhu00056
Molzym_Ultra-Deep_OMR_2_S10,jhu00057
Molzym_Ultra-Deep_OMR_HostZero_4_S37,jhu00058
Molzym_Ultra-Deep_OMR_NEB_6_S32,jhu00059
OMR1_BD801_S6,jhu00060
OMR2_BH802_S35,jhu00061
Qiagen_DNeasy_MCS_1_in_OMR_BD801_S47,jhu00062
Qiagen_DNeasy_MCS_2_in_OMR_BH802_S23,jhu00063
Qiagen_DNeasy_MCS_7_S2,jhu00064
Qiagen_DNeasy_MCS_HostZero_3_S5,jhu00065
Qiagen_DNeasy_MCS_MolYsis_1_S72,jhu00066
Qiagen_DNeasy_MCS_NEB_5_S60,jhu00067
Qiagen_DNeasy_OMR1_BD801_S61,jhu00068
Qiagen_DNeasy_OMR2_BH802_S12,jhu00069
Qiagen_DNeasy_OMR_2_S74,jhu00070
Qiagen_DNeasy_OMR_HostZero_4_S38,jhu00071
Qiagen_DNeasy_OMR_MolYsis_2_S53,jhu00072
Qiagen_DNeasy_OMR_NEB_6_S57,jhu00073
Qiagen_DNeasy_Water_S70,jhu00074
Qiagen_Dneasy_CS_001_Air_Swab_S39,jhu00075
Qiagen_Dneasy_CS_001_Right_Eye_S28,jhu00076
Qiagen_Dneasy_CS_002_Air_Swab_S62,jhu00077
