omc_id,sample_id,sample_name,non_human_reads,individual_id
pitt00001,0000-3217-20230901-dnaextneg,0000-3217-20230901-dnaextneg_S38,914,NA
pitt00002,0000-3269-20230808-negext1ctrl-2,0000-3269-20230808-negext1ctrl-2_S28,79662,NA
pitt00003,0000-3269-20230808-negextract1ctrl,0000-3269-20230808-negextract1ctrl_S28,75758,NA
pitt00004,0000-3271-20231005-negext2ctrl-2,0000-3271-20231005-negext2ctrl-2_S40,64164,NA
pitt00005,0000-3271-20231005-negextract2ctrl,0000-3271-20231005-negextract2ctrl_S40,57720,NA
pitt00006,0000-3277-20231209-negext3ctrl-40c-2,0000-3277-20231209-negext3ctrl-40c-2_S50,6982,NA
pitt00007,0000-3277-20231209-negextract3ctrl-40c,0000-3277-20231209-negextract3ctrl-40c_S50,6504,NA
pitt00008,0000-3301-20240104-negext4-D,0000-3301-20240104-negext4-D_S70,722,NA
pitt00009,0000-3303-20240106-negext5-D,0000-3303-20240106-negext5-D_S72,25068,NA
pitt00010,0000-3305-20240109-negext6-D,0000-3305-20240109-negext6-D_S74,562,NA
pitt00011,0000-3359-20240106-negext5-D,0000-3359-20240106-negext5-D_S22,666,NA
pitt00012,0000-3408-20240308-negext10-D,0000-3408-20240308-negext10-D_S32,2110,NA
pitt00013,0000-3544-20240926-negext11-D,0000-3544-20240926-negext11-D_S76,53970,NA
pitt00014,0000-3545-20240930-negext12-D,0000-3545-20240930-negext12-D_S77,80604,NA
pitt00015,0000-3546-20241017-negext13-D,0000-3546-20241017-negext13-D_S78,181438,NA
pitt00016,0000-3547-20241019-negext14-D,0000-3547-20241019-negext14-D_S79,70988,NA
pitt00017,0000-3651-20250501-negext1-D,0000-3651-20250501-negext1-D_S94,163108,NA
pitt00018,0000-3690-20250604-negext1-D,0000-3690-20250604-negext1-D_S93,39714,NA
pitt00019,0000-3694-20250610-negext1-D,0000-3694-20250610-negext1-D_S170,183282,NA
pitt00020,0000-3713-20250922-negext1-D,0000-3713-20250922-negext1-D_S79,208812,NA
pitt00021,0017-3259-20230807-neg-cDNA-ctrl-2,0017-3259-20230807-neg-cDNA-ctrl-2_S12,87598,NA
pitt00022,0017-3259-20230807-neg-cDNA-ctrl,0017-3259-20230807-neg-cDNA-ctrl_S12,83460,NA
pitt00023,0017-3279-20231209-negext3ctrl-R-40c-2,0017-3279-20231209-negext3ctrl-R-40c-2_S56,115582,NA
pitt00024,0017-3279-20231209-negextract3ctrl-R-40c,0017-3279-20231209-negextract3ctrl-R-40c_S56,112580,NA
pitt00025,0017-3288-20231209-negext3ctrl-R-30c-2,0017-3288-20231209-negext3ctrl-R-30c-2_S69,108782,NA
pitt00026,0017-3288-20231209-negextract3ctrl-R-30c,0017-3288-20231209-negextract3ctrl-R-30c_S69,105156,NA
pitt00027,0017-3315-20240104-negext4-R,0017-3315-20240104-negext4-R_S152,103738,NA
pitt00028,0017-3319-20240106-negext5-R,0017-3319-20240106-negext5-R_S156,165440,NA
pitt00029,0017-3323-20240109-negext6-R,0017-3323-20240109-negext6-R_S160,190478,NA
pitt00030,0017-3327-20240111-negext7-R,0017-3327-20240111-negext7-R_S164,131034,NA
pitt00031,0017-3331-20240116-negext8-R,0017-3331-20240116-negext8-R_S168,174358,NA
pitt00032,0017-3339-20240104-negext4-NoRT,0017-3339-20240104-negext4-NoRT_S180,1388,NA
pitt00033,0017-3366-20240106-negext5-R,0017-3366-20240106-negext5-R_S45,2956,NA
pitt00034,0017-3368-20240111-negext7-R,0017-3368-20240111-negext7-R_S47,22960,NA
pitt00035,0017-3369-20240116-negext8-R,0017-3369-20240116-negext8-R_S48,37100,NA
pitt00036,0017-3414-20240306-negext9-R-thm,0017-3414-20240306-negext9-R-thm_S52,958,NA
pitt00037,0017-3418-20240306-negext9-R-neb,0017-3418-20240306-negext9-R-neb_S84,1824,NA
pitt00038,0017-3422-20240308-negext10-R-thm,0017-3422-20240308-negext10-R-thm_S88,121596,NA
pitt00039,0017-3655-20250501-negext1-R-thm,0017-3655-20250501-negext1-R-thm_S94,60002,NA
pitt00040,0017-3674-20250604-negext1-R-thm,0017-3674-20250604-negext1-R-thm_S93,164900,NA
pitt00041,0017-3678-20250610-negext1-R-thm,0017-3678-20250610-negext1-R-thm_S138,115954,NA
pitt00042,0017-3717-20250922-negext1-R,0017-3717-20250922-negext1-R_S161,223660,NA
pitt00043,0031-3316-20240104-cDNAneg1,0031-3316-20240104-cDNAneg1_S153,46668,NA
pitt00044,0031-3317-20240104-cDNAneg2,0031-3317-20240104-cDNAneg2_S154,45048,NA
