sample_id,sample_name,sequencing_date,taxonomy_name,taxonomy_id,taxonomy_lvl,assigned_reads,added_reads,total_reads,fraction_total_reads
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Bradyrhizobium sp. SK17,2057741,S,3015015,118882,3133897,0.51148
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Burkholderia contaminans,488447,S,1003092,253520,1256612,0.20509
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Burkholderia lata,482957,S,94061,28506,122567,0.02
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Trypanosoma cruzi,5693,S,72820,10120,82940,0.01354
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Rothia mucilaginosa,43675,S,80349,874,81223,0.01326
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Burkholderia cenocepacia,95486,S,31718,31965,63683,0.01039
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Caulobacter mirabilis,69666,S,54874,4292,59166,0.00966
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Prevotella melaninogenica,28132,S,53246,3717,56963,0.0093
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Caulobacter flavus,1679497,S,42842,8087,50929,0.00831
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Bradyrhizobium betae,244734,S,45095,4181,49276,0.00804
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Pseudomonas tolaasii,29442,S,26477,18240,44717,0.0073
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Caulobacter vibrioides,155892,S,32145,12138,44283,0.00723
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Caulobacter rhizosphaerae,2010972,S,35312,8029,43341,0.00707
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Caulobacter sp. Ji-3-8,2708539,S,32226,10792,43018,0.00702
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Streptomyces lividans,1916,S,31595,5106,36701,0.00599
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Schaalia odontolytica,1660,S,34950,758,35708,0.00583
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Burkholderia cepacia,292,S,24267,11174,35441,0.00578
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Phenylobacterium zucineum,284016,S,30669,1290,31959,0.00522
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Caulobacter sp. K31,366602,S,26668,5008,31676,0.00517
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Klebsiella pneumoniae,573,S,9901,21498,31399,0.00512
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Haemophilus parainfluenzae,729,S,28500,2402,30902,0.00504
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Streptococcus salivarius,1304,S,18794,10121,28915,0.00472
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Caulobacter segnis,88688,S,22005,6711,28716,0.00469
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Cryptosporidium hominis,237895,S,26358,2156,28514,0.00465
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Streptococcus sp. LPB0220,2610896,S,22056,4652,26708,0.00436
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Streptococcus parasanguinis,1318,S,23765,2012,25777,0.00421
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Rothia dentocariosa,2047,S,25141,517,25658,0.00419
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Streptococcus mitis,28037,S,20032,3767,23799,0.00388
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Escherichia coli,562,S,1293,21925,23218,0.00379
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Streptococcus sp. HSISM1,1316408,S,18828,3888,22716,0.00371
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Veillonella sp. T1-7,2682456,S,18214,4255,22469,0.00367
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Prevotella jejuni,1177574,S,20018,1475,21493,0.00351
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Caulobacter sp. FWC26,69665,S,15052,6387,21439,0.0035
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Bradyrhizobium sp. 6(2017),1197460,S,20784,228,21012,0.00343
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Bradyrhizobium elkanii,29448,S,19864,779,20643,0.00337
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Caulobacter henricii,69395,S,16711,2488,19199,0.00313
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Pseudomonas aeruginosa,287,S,1667,17312,18979,0.0031
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Burkholderia pseudomallei,28450,S,4311,14700,19011,0.0031
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Streptococcus pneumoniae,1313,S,5756,12651,18407,0.003
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Burkholderia metallica,488729,S,13960,2377,16337,0.00267
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Staphylococcus aureus,1280,S,2782,13273,16055,0.00262
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Neisseria mucosa,488,S,11201,3705,14906,0.00243
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Brevundimonas naejangsanensis,588932,S,11778,2155,13933,0.00227
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Cutibacterium acnes,1747,S,13331,113,13444,0.00219
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Streptococcus sp. oral taxon 061,712623,S,12770,569,13339,0.00218
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Pasteurella multocida,747,S,226,12587,12813,0.00209
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Phenylobacterium sp. HYN0004,2201350,S,11868,562,12430,0.00203
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Alicycliphilus denitrificans,179636,S,4784,7444,12228,0.002
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Burkholderia stabilis,95485,S,8870,2998,11868,0.00194
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Gemella haemolysans,1379,S,11403,368,11771,0.00192
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Corynebacterium matruchotii,43768,S,11509,40,11549,0.00188
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Neisseria subflava,28449,S,10345,1135,11480,0.00187
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Veillonella atypica,39777,S,10830,342,11172,0.00182
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Brevundimonas diminuta,293,S,3271,7824,11095,0.00181
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Streptococcus oralis,1303,S,8052,2200,10252,0.00167
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Fusobacterium pseudoperiodonticum,2663009,S,8329,1333,9662,0.00158
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Veillonella dispar,39778,S,8298,1245,9543,0.00156
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Streptococcus sanguinis,1305,S,9334,223,9557,0.00156
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Neisseria sicca,490,S,7810,1295,9105,0.00149
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Burkholderia vietnamiensis,60552,S,2297,6255,8552,0.0014
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Actinomyces oris,544580,S,5513,3064,8577,0.0014
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Salmonella enterica,28901,S,516,7683,8199,0.00134
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Sphingomonas sp. LM7,1938607,S,7627,388,8015,0.00131
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Burkholderia multivorans,87883,S,6218,1650,7868,0.00128
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Burkholderia pyrrocinia,60550,S,6267,1499,7766,0.00127
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Veillonella parvula,29466,S,7551,179,7730,0.00126
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Streptococcus sp. oral taxon 431,712633,S,7316,411,7727,0.00126
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Sphingomonas koreensis,93064,S,4792,2934,7726,0.00126
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Campylobacter concisus,199,S,7549,64,7613,0.00124
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Actinomyces naeslundii,1655,S,4771,2711,7482,0.00122
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Eimeria acervulina,5801,S,7102,145,7247,0.00118
jhu00001,Molzym_Ultra_Deep_Air_Ctr_3_S20,2024-03-14,Sphingomonas sp. Cra20,1327635,S,6782,234,7016,0.00115
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Enterococcus faecalis,1351,S,19437997,620067,20058064,0.29276
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Lactobacillus fermentum,1613,S,14068382,328573,14396955,0.21013
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Listeria monocytogenes,1639,S,13249526,597976,13847502,0.20211
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Staphylococcus aureus,1280,S,6449893,364761,6814654,0.09946
jhu00004,Molzym_Ultra_Deep_MCS_1-100_4_S8,2024-03-14,Bacillus subtilis,1423,S,409162,4422785,4831947,0.07053
