Citations,PI,Title,Link,Year
2106,Cintia de Paiva,"Tfos dews ii pathophysiology reportAJ Bron, CS de Paiva, SK Chauhan, S Bonini, EE Gabison, S Jain, ...The ocular surface 15 (3), 438-510, 2017",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:rmuvC79q63oC,2017
1252,Russell Van Gelder,"Guidelines for the use of immunosuppressive drugs in patients with ocular inflammatory disorders: recommendations of an expert panelDA Jabs, JT Rosenbaum, CS Foster, GN Holland, GJ Jaffe, JS Louie, ...American journal of ophthalmology 130 (4), 492-513, 2000",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&citation_for_view=cBYEMm4AAAAJ:u-x6o8ySG0sC,2000
1109,Cintia de Paiva,"TFOS DEWS II report executive summaryJP Craig, JD Nelson, DT Azar, C Belmonte, AJ Bron, SK Chauhan, ...The ocular surface 15 (4), 802-812, 2017",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:Ri6SYOTghG4C,2017
909,Russell Van Gelder,"Melanopsin is required for non-image-forming photic responses in blind miceS Panda, I Provencio, DC Tu, SS Pires, MD Rollag, AM Castrucci, ...Science 301 (5632), 525-527, 2003",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&citation_for_view=cBYEMm4AAAAJ:d1gkVwhDpl0C,2003
606,Laura Ensign,"Impact of Surface Polyethylene Glycol (PEG) Density on Biodegradable Nanoparticle Transport in Mucusex Vivoand Distributionin VivoQ Xu, LM Ensign, NJ Boylan, A Schon, X Gong, JC Yang, NW Lamb, ...ACS nano 9 (9), 9217-9227, 2015",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tM2Fw10AAAAJ&citation_for_view=tM2Fw10AAAAJ:8k81kl-MbHgC,2015
598,Cintia de Paiva,"Corticosteroid and doxycycline suppress MMP-9 and inflammatory cytokine expression, MAPK activation in the corneal epithelium in experimental dry eyeCS De Paiva, RM Corrales, AL Villarreal, WJ Farley, DQ Li, ME Stern, ...Experimental eye research 83 (3), 526-535, 2006",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:qjMakFHDy7sC,2006
592,Cintia de Paiva,"Tear cytokine profiles in dysfunctional tear syndromeH Lam, L Bleiden, CS De Paiva, W Farley, ME Stern, SC PflugfelderAmerican journal of ophthalmology 147 (2), 198-205. e1, 2009",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:Tyk-4Ss8FVUC,2009
589,Russell Van Gelder,"Expert panel recommendations for the use of anti–tumor necrosis factor biologic agents in patients with ocular inflammatory disordersG Levy-Clarke, DA Jabs, RW Read, JT Rosenbaum, A Vitale, ...Ophthalmology 121 (3), 785-796. e3, 2014",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=cBYEMm4AAAAJ&citation_for_view=cBYEMm4AAAAJ:kRWSkSYxWN8C,2014
567,Cintia de Paiva,"The pathophysiology of dry eye disease: what we know and future directions for researchSC Pflugfelder, CS de PaivaOphthalmology 124 (11), S4-S13, 2017",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=X2vF2DkAAAAJ&citation_for_view=X2vF2DkAAAAJ:anf4URPfarAC,2017
523,Steven Salzberg,"Pavian: interactive analysis of metagenomics data for microbiome studies and pathogen identificationFP Breitwieser, SL SalzbergBioinformatics 36 (4), 1303-1304, 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=sUVeH-4AAAAJ&cstart=20&pagesize=80&citation_for_view=sUVeH-4AAAAJ:Vno172sVVMwC,2020
