Date,Dataset,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
2025-03-14,10_Zymo_Micro_Prep_CS_010_Right_Eye_S90,Cutibacterium acnes,1747,S,933,6,939,0.05021
2025-03-14,11_Zymo_Micro_Prep_CS_007_Air_Swab_S91,Xanthomonas campestris,339,S,16057,320,16377,0.06707
2025-03-14,11_Zymo_Micro_Prep_CS_007_Air_Swab_S91,Delftia tsuruhatensis,180282,S,14912,3184,18096,0.07411
2025-03-14,11_Zymo_Micro_Prep_CS_007_Air_Swab_S91,Cutibacterium acnes,1747,S,34787,325,35112,0.14381
2025-03-14,11_Zymo_Micro_Prep_CS_007_Air_Swab_S91,Meiothermus silvanus,52022,S,21623,81,21704,0.08889
2025-03-14,12_Zymo_Micro_Prep_CS_010_Air_Swab_S92,Xanthomonas campestris,339,S,20677,403,21080,0.05122
2025-03-14,12_Zymo_Micro_Prep_CS_010_Air_Swab_S92,Delftia tsuruhatensis,180282,S,22593,5165,27758,0.06744
2025-03-14,12_Zymo_Micro_Prep_CS_010_Air_Swab_S92,Cutibacterium acnes,1747,S,54425,467,54892,0.13337
2025-03-14,12_Zymo_Micro_Prep_CS_010_Air_Swab_S92,Meiothermus silvanus,52022,S,26884,98,26982,0.06556
2025-03-14,12_Zymo_Micro_Prep_CS_010_Air_Swab_S92,Malassezia restricta,76775,S,23277,3,23280,0.05656
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Bacillus subtilis,1423,S,159346,1615333,1774679,0.05842
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Bacillus intestinalis,1963032,S,5395,1811887,1817282,0.05982
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Staphylococcus aureus,1280,S,3402565,152948,3555513,0.11705
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Listeria monocytogenes,1639,S,2951130,118588,3069718,0.10105
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Enterococcus faecalis,1351,S,2965385,82027,3047412,0.10032
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Lactobacillus fermentum,1613,S,2891335,60805,2952140,0.09718
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Salmonella enterica,28901,S,2801102,2370365,5171467,0.17024
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Escherichia coli,562,S,827408,3094048,3921456,0.12909
2025-03-14,13_Zymo_Microprep_MCS_OMR_BD801_S93,Pseudomonas aeruginosa,287,S,1318976,2230111,3549087,0.11684
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Bacillus subtilis,1423,S,6829,91511,98340,0.06783
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Staphylococcus aureus,1280,S,161810,8658,170468,0.11757
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Listeria monocytogenes,1639,S,134158,5775,139933,0.09651
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Enterococcus faecalis,1351,S,133748,3981,137729,0.09499
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Lactobacillus fermentum,1613,S,125920,2916,128836,0.08886
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Salmonella enterica,28901,S,119078,109267,228345,0.15749
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Escherichia coli,562,S,36520,139906,176426,0.12168
2025-03-14,14_Zymo_Microprep_OMR_BD801_S94,Pseudomonas aeruginosa,287,S,57762,103370,161132,0.11113
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Bacillus subtilis,1423,S,9639,110348,119987,0.05498
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Staphylococcus aureus,1280,S,218221,16870,235091,0.10771
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Listeria monocytogenes,1639,S,182888,8216,191104,0.08756
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Enterococcus faecalis,1351,S,185445,5381,190826,0.08743
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Lactobacillus fermentum,1613,S,163341,3806,167147,0.07658
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Salmonella enterica,28901,S,169084,161057,330141,0.15126
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Escherichia coli,562,S,51491,202197,253688,0.11624
2025-03-14,15_Qiagen_Soil_Pro_CS_001_Left_Eye_S95,Pseudomonas aeruginosa,287,S,80317,144182,224499,0.10286
2025-03-14,16_Qiagen_Soil_Pro_CS_002_Right_Eye_S96,Bacillus intestinalis,1963032,S,16,5109,5125,0.05136
2025-03-14,16_Qiagen_Soil_Pro_CS_002_Right_Eye_S96,Staphylococcus aureus,1280,S,10393,559,10952,0.10976
