field_name,description,example,notes,data_format
sample_id,Unique identifier for the sequencing run,OMR00001 (jhu00001),,string
taxonomy_name,The scientific classification name of an organism,Cutibacterium acnes,,string
abbreviation,The shortened form or taxonomy_name,C. acnes,,string
taxonomy_id,A unique identifier that corresponds to a specific taxonomic classification within NCBI,1747,,numeric
taxonomy_lvl,"The rank or level of classification within the taxonomic hierarchy, such as kingdom, phylum, or species.",S (species),,string
assigned_read,The number of sequencing reads assigned unambiguously to this specific taxonomic group by the non_human_read_classification_software,10000,,numeric
added_reads,The number of additional reads assigned to this specific taxonomic group,1000,,numeric
microbial_reads,assigned_reads+added_reads assigned to this specific taxonomic group,11000,,numeric
total_microbial_read,sum of total_microbial_read for all species in this sample,10000000,,numeric
fraction_microbial_reads,(assigned_reads+added_reads)/total_microbial_reads,0.1,,numeric
avg_fraction_microbial_reads,average fraction_microbial_reads assigned to this specific taxonomic group for multiple samples,0.15,,numeric
