Field Name,Description,Example,Notes
sample_id,Unique identifier for the sequencing run,OMR00001 (jhu00001),
taxonomy_name,The scientific classification name of an organism,Cutibacterium acnes,
abbreviation,The shortened form or taxonomy_name,C. acnes,
taxonomy_id,A unique identifier that corresponds to a specific taxonomic classification within NCBI,1747,
taxonomy_lvl,"The rank or level of classification within the taxonomic hierarchy, such as kingdom, phylum, or species.",S (species),
assigned_reads,The number of sequencing reads assigned unambiguously to this specific taxonomic group by the non_human_read_classification_software,10000,
added_reads,The number of additional reads assigned to this specific taxonomic group,1000,
total_reads,assigned_reads+added_reads,11000,
fraction_total_reads,(assigned_reads+added_reads)/total_reads,0.1,
fraction_total_reads_avg,average fraction_total_reads for multiple libraries,0.15,
