"BioProject",LibCounts,TotalReads,NonHumanReads
PRJNA1044261,70,"3,563,156","3,393,630"
PRJNA610482,55,"4,293,332,268","521,365,002"
PRJNA807746,105,"6,423,976","4,421,975"
PRJNA910807,40,"8,029,254","1,617,310"
PRJNA818470,66,"47,399,930","44,427,831"
PRJNA721101,41,"1,906,332","1,903,866"
PRJNA819236,50,"8,404,370","7,805,870"
PRJNA912212,76,"7,657,628","4,852,670"
PRJNA879945,42,"2,717,896","1,268,935"
PRJNA398289,225,"8,660,493,124","3,409,799,314"
PRJNA1036535,6,"336,846,735","44,245,183"
PRJNA937315,9,"653,535,328","19,189,202"
PRJNA886972,26,"728,912,653","111,958,320"
PRJNA1077663,67,"11,684,224","11,490,742"
PRJNA646315,25,"148,235,949","48,893,940"
PRJNA429692,236,"9,057,636,897","3,764,157,181"
PRJNA744578,231,"36,300,340","36,141,318"
PRJNA745199,20,"62,697,330","56,122,402"
PRJNA642342,27,"4,873,148","4,831,608"
PRJNA381365,20,"105,750,483","200,831,754"
PRJNA695410,149,"5,939,132","5,818,745"
PRJNA692666,100,"2,747,745","2,724,693"
PRJDB15234,64,"4,370,400","3,795,562"
PRJNA802336,31,"2,416,293,619","1,170,561,861"
PRJNA1048377,48,"6,026,374","5,816,568"
PRJNA415338,1,"2,675,198","2,661,985"
PRJNA847046,61,"16,895,456","16,325,914"
PRJEB55147,424,"15,040,297,849","338,032,918"
PRJNA486134,18,"16,047,590","8,187,300"
PRJNA689968,34,"6,150,786","6,098,614"
PRJNA912096,39,"1,560,697","1,448,303"
PRJNA328002,8,"118,804","117,458"
PRJDB10068,15,"1,800,000","1,797,188"
PRJEB21503,71,"9,693,283","19,338,914"
PRJNA693337,76,"15,344,074","11,732,158"
PRJNA749068,109,"20,120,020","20,046,432"
PRJNA564695,89,"3,192,000","3,011,992"
PRJNA306497,3,"13,256,860","940,636"
PRJNA1010661,30,"1,322,684,276","1,412,568"
PRJNA894103,88,"7,536,122","7,518,242"
PRJNA1048173,318,"84,119,548","83,416,800"
PRJDB10133,59,"5,979,204","5,967,470"
PRJNA629667,273,"16,368,813","16,368,195"
PRJNA720296,64,"13,741,234","13,704,136"
