BioProject,Description,Center Name,Date
PRJDB10068,Microbial contamination pattern of contact lens care solutions used by allergic conjunctivitis patients.,KAGAWA,2020-06-27
PRJDB10133,Presence of acanthamoeba and diversified bacterialflora in poorly maintained contact lens cases.,KAGAWA,2022-07-01
PRJDB15234,Disturbances in the Ocular Surface Microbiome by Perioperative Antimicrobial Eye Drops.,KAGAWA,2023-02-13
PRJEB21503,Genomics-Based Identification of Microorganisms in Human Ocular Body Fluid,NATIONAL FOOD INSTITUTE - DTU,2017-11-08
PRJEB55147,Trial reads from ocular swabs and cultures in human and mice, method paper and microbial community standards,INSELSPITAL,2023-08-29
PRJNA1010661,To investigate the metagenomic characteristics of ocular surface microorganisms in diabetic children with dry eye in Shanghai.,Shanghai General Hospital, Nanjing Medical University,2023-08-23
PRJNA1036535,Analysis of Virus and Colonized Bacteria in Ocular Surface Squamous Neoplasia,TONGJI HOSPITAL, TONGJI MEDICAL COLLEGE, HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,2023-11-09
PRJNA1044261,human eye metagenome Raw sequence reads,HENAN PROVINCIAL PEOPLE'S HOSPITAL,2023-11-23
PRJNA1048173,Ocular surface metagenome,SHANGHAI GENERAL HOSPITAL, NANJING MEDICAL UNIVERSITY,2023-12-04
PRJNA1048377,Longitudinal changes of ocular surface microbiome in patients undergoing hemopoietic stem cell transplant (HSCT),NATIONAL RESEARCH COUNCIL (CNR),2023-12-19
PRJNA1077663,The Alterations of Ocular Surface Microbiota Facilitate the Progression of Myopia,XIANGYA HOSPITAL,2024-02-21
PRJNA306497,Conjunctival Microbiome Raw sequence reads,UNIVERSITY OF WASHINGTON,2015-12-18
PRJNA328002,Eye metagenome Raw sequence reads,UCSF,2016-07-16
PRJNA381365,Diagnosing corneal infections in formalin fixed specimens using next generation sequencing,JOHNS HOPKINS SCHOOL OF MEDICINE,2021-02-22
PRJNA398289,human and microbial Raw sequence reads in intraocular samples,ZHONGSHAN OPHTHALMIC CENTER (ZOC),2018-02-05
PRJNA415338,Collection of biosamples from conjunctiva Metagenome,VSION RESEARCH FOUNDATION,2017-10-27
PRJNA429692,Infectious Etiology of Age-related Macular Degeneration,ZHONGSHAN OPHTHALMIC CENTER (ZOC),2018-02-08
PRJNA486134,Investigation of microbial pathogens in ocular adnexal extranodal marginal zone B-cell lymphoma,UNIVERSITY OF COPENHAGEN,2018-08-27
PRJNA564695,Composition and diversity of microbial diversity on the ocular surface of patients with MGD,SHANDONG EYE INSTITUTE,2019-09-10
