BioProject,.,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
PRJNA1077663,.,Pseudomonas sp. S150,2559074,S,8568,2886509,2895077,0.54325
PRJNA886972,.,Achromobacter xylosoxidans,85698,S,607401,38616,646017,0.51374
PRJNA1048377,.,Staphylococcus aureus,1280,S,233749,1434559,1668308,0.44799
PRJNA646315,.,Saccharomyces cerevisiae,4932,S,8358196,64138,8422334,0.44598
PRJNA819236,.,Pseudomonas sp. B14-6,2738843,S,404191,945052,1349243,0.3563
PRJNA818470,.,Actinomyces oris,544580,S,4989060,133469,5122529,0.29397
PRJNA1044261,.,Pseudomonas sp. S150,2559074,S,3936,412578,416514,0.28525
PRJNA1044261,.,Pseudomonas aeruginosa,287,S,67865,261933,329798,0.2833
PRJEB21503,.,Staphylococcus epidermidis,1282,S,4745011,299245,5044256,0.26167
PRJNA381365,.,Kocuria sp. BT304,1702043,S,981017,1573362,2554379,0.23541
PRJNA847046,.,Paracoccus yeei,147645,S,12480,1421497,1433977,0.23104
PRJNA564695,.,Corynebacterium glutamicum,1718,S,1970,310950,312920,0.22804
PRJNA692666,.,Corynebacterium glutamicum,1718,S,2038,300663,302701,0.21228
PRJNA381365,.,Kocuria rhizophila,72000,S,1281587,978915,2260502,0.2082
PRJDB10068,.,Rhodanobacter glycinis,582702,S,155454,5232,160686,0.20613
PRJNA693337,.,Paucibacter sp. S2-9,3019553,S,536031,27297,563328,0.17776
PRJNA610482,.,Staphylococcus epidermidis,1282,S,75590704,9087419,84678123,0.17626
PRJEB55147,.,Cutibacterium acnes,1747,S,32631132,523562,33154694,0.16642
PRJNA689968,.,Bifidobacterium longum,216816,S,70237,324851,395088,0.16172
PRJNA910807,.,Cutibacterium acnes,1747,S,103154,1993,105147,0.16071
PRJNA912096,.,Staphylococcus aureus,1280,S,11755,322888,334643,0.15934
PRJNA819236,.,Pseudomonas sp. S150,2559074,S,4330,573867,578197,0.15303
PRJNA642342,.,Bifidobacterium longum,216816,S,51924,245324,297248,0.15007
PRJNA1048173,.,Anoxybacillus flavithermus,33934,S,5469840,187243,5657083,0.14859
PRJEB55147,.,Staphylococcus epidermidis,1282,S,30513433,1316426,31829859,0.14664
PRJNA912212,.,Cutibacterium acnes,1747,S,228525,3114,231639,0.14367
PRJNA894103,.,Blautia wexlerae,418240,S,348270,45740,394010,0.13382
PRJNA692666,.,Pseudomonas sp. S150,2559074,S,5907,262430,268337,0.12772
PRJDB15234,.,Muribaculum intestinale,1796646,S,151425,16838,168263,0.12741
PRJEB21503,.,Cutibacterium acnes,1747,S,3674,333,4007,0.12703
PRJNA1048173,.,Pseudomonas sp. S150,2559074,S,6235,4328402,4334637,0.11988
PRJNA564695,.,Staphylococcus aureus,1280,S,34948,115424,150372,0.11481
PRJNA1048173,.,Pseudomonas aeruginosa,287,S,119199,3858785,3977984,0.10799
PRJNA1036535,.,Streptococcus pneumoniae,1313,S,1380754,16613,1397367,0.10604
PRJNA910807,.,Staphylococcus aureus,1280,S,17779,43744,61523,0.10506
PRJNA642342,.,Cutibacterium acnes,1747,S,177036,19627,196663,0.09534
PRJNA429692,.,Escherichia coli,562,S,8906543,110347993,119254536,0.09444
PRJNA879945,.,Simonsiella muelleri,72,S,80103,768,80871,0.09225
PRJNA629667,.,Staphylococcus aureus,1280,S,274338,526592,800930,0.09161
PRJNA847046,.,Streptococcus agalactiae,1311,S,24995,560512,585507,0.08774
PRJNA721101,.,Corynebacterium glutamicum,1718,S,221,145764,145985,0.08364
PRJNA937315,.,Streptococcus pneumoniae,1313,S,46861,8109,54970,0.08324
PRJNA912096,.,Cutibacterium acnes,1747,S,276,23,299,0.08241
PRJNA689968,.,Cutibacterium acnes,1747,S,177036,19627,196663,0.07801
PRJDB10133,.,Pseudomonas sp. S150,2559074,S,863,155876,156739,0.07537
PRJNA398289,.,Escherichia coli,562,S,4477473,57726116,62203589,0.07359
PRJNA912096,.,Streptococcus agalactiae,1311,S,415,145699,146114,0.07331
PRJNA564695,.,Cutibacterium acnes,1747,S,82335,283,82618,0.0707
PRJNA629667,.,Corynebacterium glutamicum,1718,S,11422,595537,606959,0.06765
PRJNA749068,.,Moraxella osloensis,34062,S,499672,1561,501233,0.06175
PRJNA693337,.,Blautia wexlerae,418240,S,141753,57089,198842,0.06018
PRJNA398289,.,Cutibacterium acnes,1747,S,28289005,739577,29028582,0.05872
PRJNA807746,.,Cutibacterium acnes,1747,S,170290,444,170734,0.05863
PRJNA629667,.,Moraxella osloensis,34062,S,506381,1205,507586,0.05862
PRJNA879945,.,Corynebacterium glutamicum,1718,S,189,105591,105780,0.05794
PRJNA745199,.,Cutibacterium acnes,1747,S,190698,5616,196314,0.05754
PRJNA629667,.,Simonsiella muelleri,72,S,465641,38326,503967,0.05695
PRJNA819236,.,Pseudomonas aeruginosa,287,S,35878,175845,211723,0.05631
PRJNA429692,.,Cutibacterium acnes,1747,S,28404172,743395,29147567,0.05623
PRJNA692666,.,Staphylococcus aureus,1280,S,15496,66077,81573,0.05534
PRJNA721101,.,Staphylococcus aureus,1280,S,2706,78801,81507,0.05476
PRJNA689968,.,Faecalibacterium prausnitzii,853,S,24920,128518,153438,0.05363
PRJNA642342,.,Faecalibacterium prausnitzii,853,S,19917,106984,126901,0.05363
PRJNA807746,.,Staphylococcus aureus,1280,S,8704,176422,185126,0.05327
PRJNA847046,.,Escherichia coli,562,S,16303,125758,142061,0.04892
PRJNA910807,.,Simonsiella muelleri,72,S,95020,2874,97894,0.04549
PRJNA721101,.,Simonsiella muelleri,72,S,65809,339,66148,0.04487
PRJNA802336,.,Cutibacterium acnes,1747,S,533156,16502,549658,0.04451
PRJNA879945,.,Cutibacterium acnes,1747,S,16941,82,17023,0.04399
PRJNA693337,.,Faecalibacterium prausnitzii,853,S,15053,128499,143552,0.0435
PRJNA610482,.,Staphylococcus aureus,1280,S,5944235,10763202,16707437,0.04199
PRJNA912212,.,Staphylococcus aureus,1280,S,19320,46324,65644,0.04125
PRJNA564695,.,Simonsiella muelleri,72,S,49925,2942,52867,0.03866
PRJNA1048377,.,Pseudomonas aeruginosa,287,S,20726,171959,192685,0.03853
