BioProject,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
PRJNA1077663,Pseudomonas sp. S150,2559074,S,8568,2886509,2895077,0.54325
PRJNA886972,Achromobacter xylosoxidans,85698,S,607401,38616,646017,0.51374
PRJNA1048377,Staphylococcus aureus,1280,S,233749,1434559,1668308,0.44799
PRJNA646315,Saccharomyces cerevisiae,4932,S,8358196,64138,8422334,0.44598
PRJNA819236,Pseudomonas sp. B14-6,2738843,S,404191,945052,1349243,0.3563
PRJNA818470,Actinomyces oris,544580,S,4989060,133469,5122529,0.29397
PRJNA1044261,Pseudomonas sp. S150,2559074,S,3936,412578,416514,0.28525
PRJNA1044261,Pseudomonas aeruginosa,287,S,67865,261933,329798,0.2833
PRJEB21503,Staphylococcus epidermidis,1282,S,4745011,299245,5044256,0.26167
PRJNA381365,Kocuria sp. BT304,1702043,S,981017,1573362,2554379,0.23541
PRJNA847046,Paracoccus yeei,147645,S,12480,1421497,1433977,0.23104
PRJNA564695,Corynebacterium glutamicum,1718,S,1970,310950,312920,0.22804
PRJNA692666,Corynebacterium glutamicum,1718,S,2038,300663,302701,0.21228
PRJNA381365,Kocuria rhizophila,72000,S,1281587,978915,2260502,0.2082
PRJDB10068,Rhodanobacter glycinis,582702,S,155454,5232,160686,0.20613
PRJNA693337,Paucibacter sp. S2-9,3019553,S,536031,27297,563328,0.17776
PRJNA610482,Staphylococcus epidermidis,1282,S,75590704,9087419,84678123,0.17626
PRJEB55147,Cutibacterium acnes,1747,S,32631132,523562,33154694,0.16642
PRJNA689968,Bifidobacterium longum,216816,S,70237,324851,395088,0.16172
PRJNA910807,Cutibacterium acnes,1747,S,103154,1993,105147,0.16071
PRJNA912096,Staphylococcus aureus,1280,S,11755,322888,334643,0.15934
PRJNA819236,Pseudomonas sp. S150,2559074,S,4330,573867,578197,0.15303
PRJNA642342,Bifidobacterium longum,216816,S,51924,245324,297248,0.15007
PRJNA1048173,Anoxybacillus flavithermus,33934,S,5469840,187243,5657083,0.14859
PRJEB55147,Staphylococcus epidermidis,1282,S,30513433,1316426,31829859,0.14664
PRJNA912212,Cutibacterium acnes,1747,S,228525,3114,231639,0.14367
PRJNA749068,Pedobacter mucosus,2895286,S,999719,82079,1081798,0.14066
PRJNA894103,Blautia wexlerae,418240,S,348270,45740,394010,0.13382
PRJNA818470,Malassezia restricta,76775,S,2991971,2100,2994071,0.13011
PRJNA1048173,Lysobacter solisilvae,2763317,S,4605507,243892,4849399,0.12798
PRJNA692666,Pseudomonas sp. S150,2559074,S,5907,262430,268337,0.12772
PRJDB15234,Muribaculum intestinale,1796646,S,151425,16838,168263,0.12741
PRJEB21503,Cutibacterium acnes,1747,S,3674,333,4007,0.12703
PRJNA328002,Toxoplasma gondii,5811,S,2400,6,2406,0.125
PRJNA328002,Cryptococcus neoformans,5207,S,4233,10,4243,0.12424
PRJNA818470,Enterobacter sp. T2,2707174,S,3451271,617123,4068394,0.12081
PRJNA1048173,Pseudomonas sp. S150,2559074,S,6235,4328402,4334637,0.11988
PRJEB21503,Enterococcus faecalis,1351,S,2729078,976888,3705966,0.11747
PRJNA564695,Staphylococcus aureus,1280,S,34948,115424,150372,0.11481
PRJNA1048173,Pseudomonas aeruginosa,287,S,119199,3858785,3977984,0.10799
PRJNA745199,Burkholderia ubonensis,101571,S,1261314,488371,1749685,0.10732
PRJNA1036535,Streptococcus pneumoniae,1313,S,1380754,16613,1397367,0.10604
PRJNA910807,Staphylococcus aureus,1280,S,17779,43744,61523,0.10506
PRJDB10068,Delftia tsuruhatensis,180282,S,869,78528,79397,0.10119
PRJNA818470,Aspergillus steynii,306088,S,4589983,3373,4593356,0.09601
PRJNA818470,Bacillus cereus,1396,S,931705,1433935,2365640,0.09571
PRJNA642342,Cutibacterium acnes,1747,S,177036,19627,196663,0.09534
PRJNA415338,Pseudomonas chlororaphis,587753,S,1302,240901,242203,0.09496
PRJNA429692,Escherichia coli,562,S,8906543,110347993,119254536,0.09444
PRJNA802336,Enterococcus faecium,1352,S,79242174,46514439,125756613,0.094
PRJNA879945,Simonsiella muelleri,72,S,80103,768,80871,0.09225
PRJNA629667,Staphylococcus aureus,1280,S,274338,526592,800930,0.09161
PRJNA886972,Achromobacter pestifer,1353889,S,103996,6081,110077,0.08814
PRJNA847046,Streptococcus agalactiae,1311,S,24995,560512,585507,0.08774
PRJNA1048173,Cupriavidus cauae,2608999,S,9445,3297700,3307145,0.08751
PRJNA328002,Simplexvirus humanalpha1,3050292,S,210,0,210,0.08495
PRJNA721101,Corynebacterium glutamicum,1718,S,221,145764,145985,0.08364
PRJNA937315,Streptococcus pneumoniae,1313,S,46861,8109,54970,0.08324
PRJDB15234,Rhodopseudomonas boonkerdii,475937,S,33040,33051,66091,0.08254
PRJNA912096,Cutibacterium acnes,1747,S,276,23,299,0.08241
PRJNA486134,Pseudomonas yamanorum,515393,S,91834,60086,151920,0.08174
PRJNA721101,Streptomyces sp. CB00271,2750025,S,133456,1990,135446,0.07947
PRJNA912212,Ralstonia sp. RS647,2880989,S,970,208978,209948,0.07833
PRJNA689968,Cutibacterium acnes,1747,S,177036,19627,196663,0.07801
PRJDB10133,Pseudomonas sp. S150,2559074,S,863,155876,156739,0.07537
PRJNA328002,Brucella anthropi,529,S,49,831,880,0.07481
PRJNA398289,Escherichia coli,562,S,4477473,57726116,62203589,0.07359
PRJNA328002,Pseudomonas citronellolis,53408,S,20,7,27,0.07337
PRJNA912096,Streptococcus agalactiae,1311,S,415,145699,146114,0.07331
PRJNA819236,Ralstonia sp. RS650,2880990,S,1068,280319,281387,0.07326
PRJNA564695,Cutibacterium acnes,1747,S,82335,283,82618,0.0707
PRJNA693337,Kamchatkavirus AP45,2843645,S,321047,5991,327038,0.0701
PRJNA486134,Avian leukosis virus,11864,S,97619,40781,138400,0.06963
PRJNA807746,Lactiplantibacillus plantarum,1590,S,11381,442310,453691,0.06931
PRJNA415338,Sphingomonas koreensis,93064,S,25672,147605,173277,0.06794
PRJNA629667,Corynebacterium glutamicum,1718,S,11422,595537,606959,0.06765
PRJDB10068,Bifidobacterium breve,1685,S,48155,4245,52400,0.06686
