BioProject,Run,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
PRJDB10068,DRR234804,Rhodococcus erythropolis,1833,S,580,8006,8586,0.15202
PRJDB10068,DRR234804,Delftia tsuruhatensis,180282,S,58,5731,5789,0.10250
PRJDB10068,DRR234806,Rhodanobacter glycinis,582702,S,25700,863,26563,0.49119
PRJDB10068,DRR234806,Delftia tsuruhatensis,180282,S,115,8971,9086,0.16801
PRJDB10068,DRR234807,Rhodanobacter glycinis,582702,S,12400,384,12784,0.23878
PRJDB10068,DRR234807,Delftia tsuruhatensis,180282,S,50,6975,7025,0.13122
PRJDB10068,DRR234807,Staphylococcus aureus,1280,S,2572,3505,6077,0.11351
PRJDB10068,DRR234807,Bifidobacterium breve,1685,S,5676,217,5893,0.11007
PRJDB10068,DRR234808,Rhodanobacter glycinis,582702,S,17088,588,17676,0.31252
PRJDB10068,DRR234808,Sphingomonas paucimobilis,13689,S,187,13815,14002,0.24756
PRJDB10068,DRR234809,Delftia tsuruhatensis,180282,S,144,14145,14289,0.25349
PRJDB10068,DRR234809,Bifidobacterium breve,1685,S,10634,1287,11921,0.21148
PRJDB10068,DRR234809,Methylobacterium aquaticum,270351,S,69,5605,5674,0.10066
PRJDB10068,DRR234810,Rhodanobacter glycinis,582702,S,24597,788,25385,0.45613
PRJDB10068,DRR234810,Delftia tsuruhatensis,180282,S,44,6934,6978,0.12538
PRJDB10068,DRR234811,Bifidobacterium breve,1685,S,28955,2614,31569,0.56021
PRJDB10068,DRR234811,Rhodanobacter glycinis,582702,S,6575,256,6831,0.12122
PRJDB10068,DRR234812,Rhodanobacter glycinis,582702,S,29433,1032,30465,0.53846
PRJDB10068,DRR234812,Massilia oculi,945844,S,4612,2063,6675,0.11798
PRJDB10068,DRR234813,Rhodanobacter glycinis,582702,S,6881,208,7089,0.12467
PRJDB10068,DRR234814,Pseudomonas sp. S150,2559074,S,221,15068,15289,0.27323
PRJDB10068,DRR234815,Rhodanobacter glycinis,582702,S,15616,522,16138,0.28997
PRJDB10068,DRR234816,synthetic construct,32630,S,43573,0,43573,0.75871
PRJDB10068,DRR234817,Delftia tsuruhatensis,180282,S,399,27754,28153,0.49352
PRJDB10068,DRR234817,Rhodanobacter glycinis,582702,S,12033,406,12439,0.21806
PRJDB10133,DRR235903,Brevundimonas naejangsanensis,588932,S,378,13977,14355,0.16533
PRJDB10133,DRR235903,Pseudomonas sp. S150,2559074,S,49,10986,11035,0.12709
